Timestamp,AccX_G,AccY_G,AccZ_G,GyroX_DPS,GyroY_DPS,GyroZ_DPS,Lat,Lon,Altitude,Sats,PlantStat
7494,0.2583,0.0586,1.0325,21.25,-24.51,-13.19,0.0,0.0,0.0,0,0
7595,0.3406,0.2344,1.0217,62.69,-51.86,-148.70,0.0,0.0,0.0,0,0
7695,0.2842,0.3325,0.9888,-11.22,25.37,-6.00,0.0,0.0,0.0,0,0
7795,0.2134,0.2449,1.0305,-4.55,52.75,-11.43,0.0,0.0,0.0,0,0
7895,0.1184,0.3008,1.1707,-26.06,-2.53,20.77,0.0,0.0,0.0,0,0
7995,0.1826,0.3237,0.9783,-31.25,-5.92,2.15,0.0,0.0,0.0,0,0
8095,0.4988,0.1782,0.9888,36.04,-18.15,26.56,0.0,0.0,0.0,0,0
8195,0.3008,0.2336,0.9282,37.63,14.38,-26.73,0.0,0.0,0.0,0,0
8295,0.2056,0.3049,0.7454,48.60,-56.21,24.85,0.0,0.0,0.0,0,0
8395,0.0417,0.2952,0.7505,-62.45,7.73,-17.73,0.0,0.0,0.0,0,0
8495,0.3977,0.3562,1.1470,10.69,-33.21,24.40,0.0,0.0,0.0,0,0
8595,0.5286,0.3003,0.7603,37.27,-14.89,-29.98,0.0,0.0,0.0,0,0
8695,0.3914,0.4265,0.9297,2.56,7.47,-13.99,0.0,0.0,0.0,0,0
8795,0.2756,0.3540,0.9229,-5.76,16.16,10.37,0.0,0.0,0.0,0,0
8895,0.2517,0.3381,0.7551,-8.56,-4.09,-6.92,0.0,0.0,0.0,0,0
8995,0.3630,0.1533,1.0813,0.74,-0.56,4.84,0.0,0.0,0.0,0,0
9095,0.3948,0.5481,0.7195,89.29,-32.31,-5.14,0.0,0.0,0.0,0,0
9195,0.4124,0.5393,0.8093,119.98,-29.02,-22.18,0.0,0.0,0.0,0,0
9295,0.4358,0.6787,0.5774,-4.73,-1.34,28.37,0.0,0.0,0.0,0,0
9395,0.3647,0.5051,0.8604,-112.24,47.08,28.90,0.0,0.0,0.0,0,0
9495,0.4695,0.4136,0.8286,-55.90,4.27,-3.90,0.0,0.0,0.0,0,0
9598,0.3206,0.3784,0.7832,-56.05,35.78,-46.07,0.0,0.0,0.0,0,0
9698,0.1655,0.3921,0.9316,-4.90,39.66,-34.86,0.0,0.0,0.0,0,0
9798,0.1638,0.3376,0.9548,-7.22,-8.98,6.82,0.0,0.0,0.0,0,0
9899,0.1448,0.2161,0.9380,-70.27,9.27,33.09,0.0,0.0,0.0,0,0
9999,0.3135,0.1531,0.9700,-38.76,-6.00,-1.69,0.0,0.0,0.0,0,0
10099,0.0881,0.1631,1.0691,19.11,4.24,-30.99,0.0,0.0,0.0,0,0
10199,0.1909,0.1763,0.9834,-0.11,-20.33,-10.08,0.0,0.0,0.0,0,0
10299,0.1074,0.1375,0.9905,-20.28,-7.58,-7.51,0.0,0.0,0.0,0,0
10399,0.1599,0.1006,0.9937,-39.50,8.44,0.60,0.0,0.0,0.0,0,0
10499,0.1846,0.0269,1.0139,-39.46,-9.05,-7.18,0.0,0.0,0.0,0,0
10697,0.3547,-0.1487,0.8303,-30.73,42.62,20.69,0.0,0.0,0.0,0,0
10797,0.0300,-0.1343,1.3877,33.71,18.66,24.27,0.0,0.0,0.0,0,0
10897,0.1973,0.0576,1.0232,-0.99,13.90,-8.82,0.0,0.0,0.0,0,0
10997,0.1877,-0.0120,1.0771,-29.73,7.95,-3.19,0.0,0.0,0.0,0,0
11097,0.1877,-0.0598,0.9912,-3.51,-6.66,15.44,0.0,0.0,0.0,0,0
11197,0.1917,-0.0430,1.0254,0.09,-13.28,16.73,0.0,0.0,0.0,0,0
11297,0.1719,-0.0435,1.0244,11.32,9.66,6.06,0.0,0.0,0.0,0,0
11397,0.1223,-0.0540,1.0376,-20.00,39.97,15.26,0.0,0.0,0.0,0,0
11497,0.1724,-0.0784,0.9609,-38.31,6.99,5.94,0.0,0.0,0.0,0,0
11668,0.0837,-0.2124,1.3318,4.50,23.99,-0.70,0.0,0.0,0.0,0,0
11768,0.1475,-0.1304,1.0178,-1.79,6.82,1.84,0.0,0.0,0.0,0,0
11868,-0.0454,-0.1777,1.2224,-13.27,21.81,0.63,0.0,0.0,0.0,0,0
11968,0.1279,-0.1699,0.9956,0.85,-4.50,1.83,0.0,0.0,0.0,0,0
12068,0.1338,-0.1707,0.9844,-5.60,6.63,0.15,0.0,0.0,0.0,0,0
12168,0.1497,-0.1826,1.1033,67.68,-15.99,-3.47,0.0,0.0,0.0,0,0
12268,0.0039,-0.0825,1.1011,24.60,50.78,18.60,0.0,0.0,0.0,0,0
12368,0.0649,-0.0562,1.0605,11.51,9.92,23.65,0.0,0.0,0.0,0,0
12468,0.0454,-0.0894,1.0608,-3.21,0.38,5.73,0.0,0.0,0.0,0,0
12568,0.1094,-0.0552,1.0259,3.95,4.89,5.19,0.0,0.0,0.0,0,0
12668,0.0864,-0.0593,0.9680,3.60,0.47,0.83,0.0,0.0,0.0,0,0
12768,0.0923,-0.0247,1.1023,5.79,1.91,4.47,0.0,0.0,0.0,0,0
12868,0.0566,-0.0396,1.1055,7.56,8.62,-5.94,0.0,0.0,0.0,0,0
12968,0.0798,-0.0374,1.0381,-6.05,4.61,0.52,0.0,0.0,0.0,0,0
13068,0.0527,-0.0146,1.0212,-1.40,-6.11,-8.00,0.0,0.0,0.0,0,0
13168,0.0771,0.0059,1.0139,1.29,3.90,2.72,0.0,0.0,0.0,0,0
13268,0.0781,-0.0146,1.0552,3.03,-7.01,2.86,0.0,0.0,0.0,0,0
13368,0.0603,0.0083,1.0894,-4.84,11.83,-3.66,0.0,0.0,0.0,0,0
13468,0.0645,-0.0256,1.1096,-23.08,11.30,5.84,0.0,0.0,0.0,0,0
13568,0.0449,-0.0630,1.0471,-10.66,16.25,9.43,0.0,0.0,0.0,0,0
13668,0.0352,-0.0701,1.0354,-4.96,0.47,2.43,0.0,0.0,0.0,0,0
13768,0.0061,-0.0828,0.8958,23.43,-14.22,-8.27,0.0,0.0,0.0,0,0
13868,0.0171,-0.0513,1.1077,-4.33,-2.89,-6.63,0.0,0.0,0.0,0,0
13968,0.0544,-0.1077,1.0176,-12.82,7.88,-2.93,0.0,0.0,0.0,0,0
14068,-0.0437,-0.0115,1.0066,1.32,37.06,-1.70,0.0,0.0,0.0,0,0
14168,-0.0652,-0.0464,1.0505,3.30,-30.34,-7.77,0.0,0.0,0.0,0,0
14268,0.0298,-0.0171,1.0811,-2.85,-1.40,4.09,0.0,0.0,0.0,0,0
14368,0.0776,-0.0046,1.0718,-2.60,16.45,-0.36,0.0,0.0,0.0,0,0
